similarity,corruption,rank,topK,iter,lambda,weight_u_i,metric,NDCG@K,Recall@50,weight_i,weight_u,Recall@100
Cosine,0.3,50,50,200,0.001,,,"[0.4541, 0.0149]","[0.2915, 0.0134]",0.6,0.4,
Cosine,0.3,50,50,200,0.001,,,"[0.4528, 0.0151]","[0.283, 0.0133]",0.7,0.3,
Cosine,0.3,50,50,200,0.001,,,"[0.4511, 0.0149]","[0.2803, 0.0131]",0.8,0.2,
Cosine,0.3,50,50,200,0.001,,,"[0.4516, 0.0155]","[0.2651, 0.0126]",0.9,0.1,
Cosine,0.3,50,50,200,0.001,,,"[0.4447, 0.0156]","[0.2566, 0.0125]",1.0,0.0,
Cosine,0.3,50,100,200,0.001,,,"[0.4937, 0.013]",,0.0,1.0,"[0.4997, 0.0164]"
Cosine,0.3,50,100,200,0.001,,,"[0.4896, 0.0132]",,0.1,0.9,"[0.5036, 0.0171]"
Cosine,0.3,50,100,200,0.001,,,"[0.4844, 0.013]",,0.2,0.8,"[0.5003, 0.0172]"
Cosine,0.3,50,100,200,0.001,,,"[0.482, 0.013]",,0.3,0.7,"[0.4902, 0.0169]"
Cosine,0.3,50,100,200,0.001,,,"[0.4745, 0.013]",,0.4,0.6,"[0.4763, 0.0166]"
Cosine,0.3,50,100,200,0.001,,,"[0.4723, 0.0132]",,0.5,0.5,"[0.4663, 0.0167]"
Cosine,0.3,50,100,200,0.001,,,"[0.4648, 0.0135]",,0.6,0.4,"[0.4449, 0.0163]"
Cosine,0.3,50,100,200,0.001,,,"[0.4629, 0.0133]",,0.7,0.3,"[0.4292, 0.0159]"
Cosine,0.3,50,100,200,0.001,,,"[0.4593, 0.0136]",,0.8,0.2,"[0.4112, 0.0156]"
Cosine,0.3,50,100,200,0.001,,,"[0.4549, 0.0142]",,0.9,0.1,"[0.3855, 0.0148]"
Cosine,0.3,50,100,200,0.001,,,"[0.4512, 0.0146]",,1.0,0.0,"[0.358, 0.0145]"
Cosine,0.4,50,50,200,0.001,,,"[0.482, 0.0147]","[0.3303, 0.0145]",0.0,1.0,
Cosine,0.4,50,50,200,0.001,,,"[0.4768, 0.0146]","[0.3352, 0.0147]",0.1,0.9,
Cosine,0.4,50,50,200,0.001,,,"[0.4745, 0.0147]","[0.3316, 0.0147]",0.2,0.8,
Cosine,0.4,50,50,200,0.001,,,"[0.4673, 0.0146]","[0.3266, 0.0148]",0.3,0.7,
Cosine,0.4,50,50,200,0.001,,,"[0.4639, 0.0148]","[0.3178, 0.0144]",0.4,0.6,
